Rank,Name,City,State,Employees,Growth (%),Accelerator/Investor,Website,LinkedIn
628,ChannelAdvisor,Morrisville,NC,822,1.61,NEA/Blue Sky,channeladvisor.com,http://www.linkedin.com/company/channeladvisor
629,Intapp Time,Palo Alto,CA,341,1.79,Great Hill,intapp.com,http://www.linkedin.com/company/intapp
630,Arduino IDE,Somerville,MA,109,1.87,,arduino.cc,https://www.linkedin.com/company/arduino
631,inMotion,Austin,TX,54,1.89,,inmotionsoftware.com,http://www.linkedin.com/company/inmotion-software
632,Benchmark Email,Los Alamitos,CA,109,1.87,,benchmarkemail.com,http://www.linkedin.com/company/benchmark-email
633,A2Z,Columbia,MD,171,1.79,,a2zinc.net,http://www.linkedin.com/company/a2z-inc
634,SparkPost,San Francisco,CA,296,1.72,Square 1/NewSpring,sparkpost.com,http://www.linkedin.com/company/sparkpost
635,SimScale,Bayern,GER,56,1.82,Union Square,simscale.com,https://www.linkedin.com/company/simscale-gmbh
636,FinancialForce,San Francisco,CA,748,1.49,TCV/Salesforce,financialforce.com,https://www.linkedin.com/company/financialforce
637,Planisware,San Francisco,CA,180,1.69,,planisware.com,http://www.linkedin.com/company/planisware
638,Poll Everywhere,San Francisco,CA,58,1.75,,polleverywhere.com,http://www.linkedin.com/company/poll-everywhere-inc.
639,Accela,San Ramon,CA,522,1.56,ABRY,accela.com,https://www.linkedin.com/company/accela-inc-/
640,Mention,Paris,FRA,59,1.72,Microsoft Accelerator,mention.com,https://www.linkedin.com/company/mention
641,SupportNinja,Austin,TX,248,1.64,,SupportNinja.com,https://www.linkedin.com/company/support-ninja/
642,clickdimensions,Atlanta,GA,185,1.65,,clickdimensions.com,http://www.linkedin.com/company/clickdimensions
643,Pipeliner CRM,Pacific Palisade,CA,61,1.67,,pipelinersales.com,https://www.linkedin.com/company/pipelinersales-com
644,retreavor,Toronto,ON,191,1.60,,retreavor.com,https://www.linkedin.com/company/retriever
645,Braintree,Chicago,IL,643,1.42,NEA/Accel,braintreepayments.com,http://www.linkedin.com/company/braintree
646,Acquisio,Brossard,,130,1.56,,acquisio.com,http://www.linkedin.com/company/acquisio
647,Contently,New York,NY,206,1.48,,contently.com,http://www.linkedin.com/company/contently
648,Clarizen,San Mateo,CA,206,1.48,,clarizen.com,http://www.linkedin.com/company/clarizen
649,Panopto,Seattle,WA,134,1.52,,panopto.com,http://www.linkedin.com/company/panopto/
650,WebCEO,London,UK,66,1.54,,webceo.com,http://www.linkedin.com/company/web-ceo
651,Lessonly,Indianapolis,IN,66,1.54,OpenView/Allos,lessonly.com,https://www.linkedin.com/company/lesson-ly
652,ACL Analytics,Vancouver,BC,902,1.23,,acl.com,http://www.linkedin.com/company/acl
653,ConnectLeader,Salem,NH,67,1.52,,connectleader.com,http://www.linkedin.com/company/connectleader
654,CallPage,Krak,,67,1.52,,callpage.io,https://www.linkedin.com/company/call-page
655,aweber,Chalfont,PA,138,1.47,,aweber.com,https://www.linkedin.com/company/aweber-communications-inc-
656,Workable,Boston,MA,219,1.39,83North/Greylock,workable.com,http://www.linkedin.com/company/workable-hr
657,Brightcove,Boston,MA,577,1.23,Accel/Maverick,brightcove.com,http://www.linkedin.com/company/brightcove
658,eFileCabinet,Lehi,UT,75,1.35,,efilecabinet.com,http://www.linkedin.com/company/efilecabinet
659,AdRoll,San Francisco,CA,708,1.14,Foundation,adroll.com,https://www.linkedin.com/company/adroll
660,Host Analytics,Redwood City,CA,326,1.24,Centerview/NextWorld,hostanalytics.com,https://www.linkedin.com/company/host-analytics-inc
661,DonorPerfect,Horsham,PA,157,1.29,,softerware.com,https://linkedin.com/company/softerware-inc-
662,CampusNexus Student,Boca Raton,FL,652,1.09,,campusmanagement.com,http://www.linkedin.com/company/campus-management-corp
663,QCommission,San Mateo,CA,80,1.27,,qcommission.com,http://www.linkedin.com/company/cellarstone
664,AdvancedMD,South Jordan,UT,567,1.07,,advancedmd.com,https://www.linkedin.com/company/advancedmd
665,Calabrio ONE,Minneapolis,MN,373,1.08,BlueStream,calabrio.com,http://www.linkedin.com/company/calabrio-inc
666,kintone,San Francisco,CA,88,1.15,,kintone.com,https://www.linkedin.com/company/kintoneusa/
667,Bluehost,Orem,UT,283,1.07,,bluehost.com,https://www.linkedin.com/company/bluehost-com/
668,TradeGecko,,,94,1.08,,tradegecko.com,https://www.linkedin.com/company/tradegecko
669,MobileIron,Mountain View,CA,942,0.86,IVP/Norwest/Sequoia,mobileiron.com,http://www.linkedin.com/company/mobileiron
670,Actian,Palo Alto,CA,316,0.96,,actian.com,https://www.linkedin.com/company/actian-corporation
671,WebPT,Phoenix,AZ,318,0.95,Battery,webpt.com,http://www.linkedin.com/company/webpt
672,BillQuick,Torrance,CA,207,0.98,,billquickonline.com,https://www.linkedin.com/company/bqe-software
673,BQE,Torrance,CA,207,0.98,,bqesoftware.com,https://www.linkedin.com/company/bqe-software
674,Global Shop Solutions,The Woodlands,TX,214,0.94,,globalshopsolutions.com,http://www.linkedin.com/company/global-shop-solutions
675,Onshape,Cambridge,MA,105,0.96,,onshape.com,http://www.linkedin.com/company/onshape-inc
676,MarcomCentral,Solana Beach,CA,105,0.96,,marcom.com,http://www.linkedin.com/company/marcomcentral
677,Any.do,Tel Aviv,ISR,344,0.88,Genesis,any.do,https://www.linkedin.com/company/any.do
678,Madison Logic,New York,NY,110,0.92,,madisonlogic.com,http://www.linkedin.com/company/madison-logic
679,AutoTURN,Richmond,BC,110,0.92,,transoftsolutions.com,http://www.linkedin.com/company/transoft-solutions-inc-
680,Amber Road,East Rutherford,NJ,647,0.78,Cross Atlantic,amberroad.com,http://www.linkedin.com/company/amber-road
681,AlienVault USM,San Mateo,CA,367,0.82,IVP/Trident,alienvault.com,http://www.linkedin.com/company/alienvault
682,Parse,Menlo Park,CA,113,0.89,,parse.com,http://www.linkedin.com/company/parse
683,Plex Systems,Troy,MI,515,0.78,T. Rowe/Accel,plex.com,http://www.linkedin.com/company/plex-systems-inc.
684,SmugMug,Mountain View,CA,117,0.86,,smugmug.com,http://www.linkedin.com/company/smugmug
685,Talisma,Boca Raton,FL,396,0.76,Oak/Madrona,talisma.com,https://www.linkedin.com/company/talisma
686,Moz,Seattle,WA,256,0.79,,moz.com,http://www.linkedin.com/company/moz
687,InsideSales.com,Provo,UT,418,0.72,Polaris/Salesforce,insidesales.com,http://www.linkedin.com/company/insidesales.com
688,Code42,Minneapolis,MN,562,0.72,NEA/Accel,code42.com,https://www.linkedin.com/company/code-42-software-inc
689,BrightEdge,San Mateo,CA,431,0.70,IVP/Battery,brightedge.com,http://www.linkedin.com/company/brightedge
690,MediaRadar,New York,NY,142,0.71,,mediaradar.com,http://www.linkedin.com/company/mediaradar-inc-
691,Caspio,Santa Clara,CA,140,0.72,,caspio.com,https://www.linkedin.com/company/caspio-inc
692,Parallels,Renton,WA,465,0.65,Bessemer,parallels.com,http://www.linkedin.com/company/parallels
693,Replicon,Redwood City,CA,527,0.57,Emergence/Social,replicon.com,http://www.linkedin.com/company/replicon
694,GoodData,San Francisco,CA,337,0.60,Intel/Andreessen,gooddata.com,http://www.linkedin.com/company/gooddata
695,CreativeLive,Seattle,WA,160,0.63,,creativelive.com,http://www.linkedin.com/company/creativelive/
696,Wave,Toronto,ON,170,0.59,NAB/Social,my.waveapps.com,https://www.linkedin.com/company/wave-hq
697,BurrellesLuce WorkFlow,Florham Park,NJ,180,0.56,,burrellesluce.com,http://www.linkedin.com/company/burrellesluce
698,AgileCRM,San Mateo,CA,181,0.56,,agilecrm.com,https://www.linkedin.com/company/agile-crm
699,Viber,San Mateo,CA,393,0.51,,viber.com,http://www.linkedin.com/company/viber-media-inc-
700,Visual LANSA,Downers Grove,IL,185,0.54,,lansa.com,http://www.linkedin.com/company/lansa
701,Skyward,Stevens Point,WI,464,0.43,Voyager,skyward.com,http://www.linkedin.com/company/skyward
702,Birst,San Francisco,CA,219,0.46,Wellington/Sequoia,birst.com,http://www.linkedin.com/company/birst
703,SharpSpring,Gainesville,FL,220,0.46,,sharpspring.com,http://www.linkedin.com/company/sharpspring
704,Liaison,Alpharetta,GA,508,0.40,Merck,liaison.com,http://www.linkedin.com/company/liaison-technologies
705,ServiceMax,Pleasanton,CA,534,0.38,Crosslink/Mayfield,servicemax.com,http://www.linkedin.com/company/servicemax
706,Ubuntu,London,UK,260,0.39,,ubuntu.com,http://www.linkedin.com/company/ubuntu
707,Schoology,Hastings,,279,0.36,JMI/FirstMark,schoology.com,http://www.linkedin.com/company/schoology
708,Planview,Austin,TX,697,0.29,Insight,planview.com,http://www.linkedin.com/company/planview
709,JobVite,San Mateo,CA,326,0.31,Catalyst/Trident,jobvite.com,http://www.linkedin.com/company/jobvite/employee-insights
710,Capture One Pro,Frederiksberg,DK,308,0.33,,phaseone.com,http://www.linkedin.com/company/phase-one
711,edX,Cambridge,MA,302,0.33,,edx.org,http://www.linkedin.com/company/edx
712,LoopNet,Washington,DC,315,0.32,,loopnet.com,http://www.linkedin.com/company/loopnet
713,Relativity,Chicago,IL,796,0.25,,kcura.com,http://www.linkedin.com/company/kcura-corporation
714,AppDirect,San Francisco,CA,545,0.18,JP Morgan,appdirect.com,http://www.linkedin.com/company/appdirect
715,Kenshoo,Tel Aviv,ISR,604,0.17,Bain/Sequoia,kenshoo.com,http://www.linkedin.com/company/kenshoo
716,Mix Telematics,Birmingham,West Midlands,929,0.11,,mixtelematics.com,https://www.linkedin.com/company/mix-telematics
717,Network Solutions,Herndon,VA,738,0.00,General Atlantic,networksolutions.com,http://www.linkedin.com/company/network-solutions
718,UserTesting,Mountain View,CA,611,0.00,Accel,usertesting.com,http://www.linkedin.com/company/usertesting.com
719,SendGrid,Denver,CO,456,0.00,Bain/Bessemer,sendgrid.com,http://www.linkedin.com/company/sendgrid
720,PDFelement,Vancouver,BC,269,0.00,,pdf.wondershare.com,https://www.linkedin.com/company/wondershare-software
721,Urban Airship,Portland,OR,199,0.00,,urbanairship.com,http://www.linkedin.com/company/urban-airship
722,Trumpia,Anaheim,CA,178,0.00,,trumpia.com,http://www.linkedin.com/company/trumpia
723,ShowingDesk BE,Chicago,IL,207,0.00,,showingtime.com,http://www.linkedin.com/company/showingtime
724,Monetate,Conshohocken,PA,154,0.00,,monetate.com,https://www.linkedin.com/company/monetate-inc-
725,Moxie,San Bruno,CA,136,0.00,,gomoxie.com,http://www.linkedin.com/company/moxie
726,Edmodo,San Mateo,CA,135,0.00,,edmodo.com,http://www.linkedin.com/company/edmodo
727,MindTouch,San Diego,CA,103,0.00,,mindtouch.com,https://www.linkedin.com/company/mindtouch
728,Sciforma,Los Gatos,CA,113,0.00,,sciforma.com,http://www.linkedin.com/company/sciforma-corporation
729,eZ Platform,Porsgrunn,,114,0.00,,ez.no,https://www.linkedin.com/company/ez-systems
730,Dashlane,New York,NY,129,0.00,,dashlane.com,http://www.linkedin.com/company/dashlane
731,Greater Giving,Beaverton,OR,113,0.00,,greatergiving.com,http://www.linkedin.com/company/greater-giving
732,Certain Event Automation,San Francisco,CA,106,0.00,,certain.com,http://www.linkedin.com/company/certain-inc-
733,Periscope Data,San Francisco,CA,142,0.00,Draper/Bessemer,periscopedata.com,https://www.linkedin.com/company/periscope-inc-
734,RentWorks,Bryanston,,101,0.00,,rentworks.co.za,https://www.linkedin.com/company/rentworks-africa-pty-ltd-
735,SitePoint Premium,Collingwood,,71,0.00,,sitepoint.com,http://www.linkedin.com/company/sitepoint
736,Ontraport,Santa Barbara,CA,110,0.00,,ontraport.com,http://www.linkedin.com/company/ontraport
737,Drupal,Portland,OR,90,0.00,,drupal.org,https://www.linkedin.com/company/drupal-association
738,Telmetrics,Mississauga,ON,84,0.00,,telmetrics.com,http://www.linkedin.com/company/telmetrics
739,RapidMiner,Boston,MA,95,0.00,,rapidminer.com,https://www.linkedin.com/company/rapidminer
740,SiteSpect,Boston,MA,81,0.00,,sitespect.com,https://www.linkedin.com/company/sitespect-inc-
741,Cirrus Insight,Irvine,CA,70,0.00,,cirrusinsight.com,https://www.linkedin.com/company/cirruspath/
742,Mylyn,Ottawa,ON,79,0.00,,eclipse.org,http://www.linkedin.com/company/eclipse-foundation
743,Aerospike,Mountain View,CA,85,0.00,NEA,aerospike.com,http://www.linkedin.com/company/aerospike-inc-
744,Bizible,Seattle,WA,116,0.00,TechStars/Scale/Madrona,bizible.com,http://www.linkedin.com/company/bizible
745,Stackla,Crows Nest,NSW,64,0.00,,stackla.com,https://www.linkedin.com/company/stackla/
746,Transifex,Menlo Park,CA,70,0.00,,transifex.com,http://www.linkedin.com/company/transifex
747,Dundas BI,Toronto,ON,62,0.00,,dundas.com,http://www.linkedin.com/company/dundas-data-visualization-inc-
748,JReport,Rockville,MD,68,0.00,,jinfonet.com,http://www.linkedin.com/company/jinfonet-software/
749,LiveHelpNow,Willow Grove,PA,65,0.00,,livehelpnow.net,http://www.linkedin.com/company/livehelpnow
750,AddThis,Vienna,VA,48,0.00,,addthis.com,http://www.linkedin.com/company/addthis
751,IdeaScale,San Francisco,CA,61,0.00,,ideascale.com,http://www.linkedin.com/company/ideascale-llc
752,iRise,El Segundo,CA,51,0.00,,irise.com,http://www.linkedin.com/company/irise
753,Grasshopper,Needham,MA,59,0.00,,grasshopper.com,http://www.linkedin.com/company/grasshopper
754,smartCat,San Francisco,CA,82,0.00,,smartcat.ai,https://www.linkedin.com/company/smartcatai/
755,ShareASale,Chicago,IL,55,0.00,,shareasale.com,https://www.linkedin.com/company/shareasale-com
756,InetSoft,Piscataway,NJ,60,0.00,,inetsoft.com,http://www.linkedin.com/company/inetsoft
757,TrackVia,Denver,CO,70,0.00,,trackvia.com,http://www.linkedin.com/company/trackvia-inc
758,Appcelerator,Santa Clara,CA,47,0.00,,appcelerator.com,http://www.linkedin.com/company/appcelerator
759,DecisionPoint,Irvine,CA,52,0.00,,decisionpt.com,http://www.linkedin.com/company/decisionpoint-systems-inc.
760,Infogram,Riga,,51,0.00,,infogr.am,https://www.linkedin.com/company/infogram
761,Tenrox,Austin,TX,52,0.00,,tenrox.com,http://www.linkedin.com/company/tenrox/
762,crowdSPRING,Chicago,IL,57,0.00,,crowdspring.com,http://www.linkedin.com/company/crowdspring
763,GNU Emacs,Boston,MA,52,0.00,,gnu.org,https://www.linkedin.com/company/gnu-project
764,Octopus Deploy,London,UK,44,0.00,,octopus.com,https://www.linkedin.com/company/octopus-com
765,Wwise,Montr,QC,54,0.00,,audiokinetic.com,http://www.linkedin.com/company/audiokinetic
766,Klout,San Francisco,CA,43,0.00,,klout.com,http://www.linkedin.com/company/klout
767,Path LMS,San Diego,CA,47,0.00,,blueskyelearn.com,https://www.linkedin.com/company/blue-sky-elearn
768,Issuetrak,Norfolk,VA,40,0.00,,issuetrak.com,https://www.linkedin.com/company/issuetrak/
769,NetX,Portland,OR,49,0.00,,netx.net,https://www.linkedin.com/company/netx.
770,Visage,Andover,MA,41,0.00,,visageimaging.com,http://www.linkedin.com/company/visage-imaging
771,Pulsar,Malvern,Worcestershire,40,0.00,,pulsar-pm.com,http://www.linkedin.com/company/pulsar-process-measurement-ltd
772,Panorama Necto,Toronto,ON,125,0.00,,panorama.com,http://www.linkedin.com/company/panorama-software
773,Zabbix,Riga,,45,0.00,,zabbix.com,https://www.linkedin.com/company/zabbix
774,Scoop.it,San Francisco,CA,41,0.00,,scoop.it,http://www.linkedin.com/company/scoop.it
775,ENPS,Washington,DC,40,0.00,,enps.com,http://www.linkedin.com/company/enps
776,Lyris,Emeryville,CA,160,0.00,,lyris.com,http://www.linkedin.com/company/lyris
777,Vtiger,Bangalore,IND,109,0.00,,vtiger.com,https://www.linkedin.com/company/vtiger
778,Kooomo,Dublin,IRE,43,0.00,,Kooomo.com,https://www.linkedin.com/company/kooomo
779,blogdash,New York,NY,293,0.00,Bootstrapped,blogdash.com,http://www.linkedin.com/company/blogdash.com
780,LiveIntent,New York,NY,182,0.00,,LiveIntent.com,https://www.linkedin.com/company/liveintent-inc-
781,ClickSoftware,Burlington,MA,717,-0.14,,clicksoftware.com,http://www.linkedin.com/company/clicksoftware
782,Atlas Solutions,Menlo Park,CA,737,-0.14,,atlassolutions.com,http://www.linkedin.com/company/atlas
783,OpenX,Pasadena,CA,519,-0.19,Sapphire/Accel,openx.com,http://www.linkedin.com/company/openx
784,InsideView,San Francisco,CA,305,-0.33,Foundation/Emergence,insideview.com,http://www.linkedin.com/company/insideview-inc
785,elcomCMS,San Francisco,CA,247,-0.40,,elcomcms.com,https://www.linkedin.com/company/elcom
786,Astea FieldCentrix,Horsham,PA,202,-0.49,,astea.com,http://www.linkedin.com/company/astea
787,Skuid,Chattanooga,TN,197,-0.51,ICONIQ/K1,skuid.com,http://www.linkedin.com/company/skuid
788,Ipower,Phoenix,AZ,175,-0.57,,ipower.com,http://www.linkedin.com/company/ipower
789,Media Temple,Los Angeles,CA,163,-0.61,,mediatemple.net,http://www.linkedin.com/company/media-temple
790,InfusionSoft,Chandler,AZ,709,-0.56,Bain/Mohr,infusionsoft.com,http://www.linkedin.com/company/infusionsoft
791,Blurb,San Francisco,CA,156,-0.64,,blurb.com,http://www.linkedin.com/company/blurb
792,Maximizer Software,Vancouver,BC,155,-0.64,,maximizer.com,https://www.linkedin.com/company/maximizer-software-inc
793,bpm'online,Boston,MA,333,-0.60,,bpmonline.com,http://www.linkedin.com/company/bpmonline
794,PubMatic,Redwood City,CA,490,-0.61,Nokia/Nexus,pubmatic.com,http://www.linkedin.com/company/pubmatic/activity
795,volusion,Austin,TX,300,-0.66,,volusion.com,http://www.linkedin.com/company/volusion/employee-insights
796,SugarCRM,Cupertino,CA,422,-0.71,Draper/NEA,sugarcrm.com,http://www.linkedin.com/company/sugarcrm
797,SiteGround,Alexandria,VA,420,-0.71,,siteground.com,https://www.linkedin.com/company/siteground-web-hosting-company
798,Cleo,Rockford,IL,262,-0.76,Peterson,cleo.com,http://www.linkedin.com/company/cleo-communications
799,TINYpulse Engage,Seattle,WA,119,-0.83,,tinypulse.com,http://www.linkedin.com/company/tinyhr
800,Basecamp,Chicago,IL,120,-0.83,,basecamp.com,http://www.linkedin.com/company/37signals
801,Zapproved,Portland,OR,123,-0.81,Vista Equity,zapproved.com,http://www.linkedin.com/company/zapproved
802,Jenzabar SONIS,Boston,MA,371,-0.80,Omnicom,jenzabar.com,http://www.linkedin.com/company/jenzabar
803,Contify,New Delhi,IND,115,-0.86,,contify.com,https://www.linkedin.com/company/contify
804,Corporate360,San Francisco,CA,243,-0.82,,Corporate360.us,https://www.linkedin.com/company/corporate-360/
805,Market Leader,Bellevue,WA,235,-0.84,,marketleader.com,https://linkedin.com/company/market-leader
806,NWEA Assessments,Portland,OR,771,-0.77,,nwea.org,http://www.linkedin.com/company/nwea
807,Yellowfin BI,Melbourne,VA,108,-0.92,,yellowfinbi.com,https://www.linkedin.com/company/yellowfin
808,Yesware,Boston,MA,95,-1.04,,yesware.com,https://www.linkedin.com/company/yesware-inc-
809,Apto,Denver,CO,89,-1.11,Mercury/Adams,apto.com,https://www.linkedin.com/company/apto-crm
810,AvidXchange,Charlotte,NC,178,-1.11,Bain/Charlotte,avidxchange.com,http://www.linkedin.com/company/avidxchange-inc.
811,FreshBooks,Toronto,ON,279,-1.06,,freshbooks.com,https://www.linkedin.com/company/freshbooks
812,MapAnything,Charlotte,NC,178,-1.11,Greycroft/Lighter,mapanything.com,http://www.linkedin.com/company/mapanything-inc
813,Marchex,Seattle,WA,272,-1.09,,marchex.com,http://www.linkedin.com/company/marchex
814,CollabNet,San Francisco,CA,265,-1.12,NVP,collab.net,http://www.linkedin.com/company/collabnet-inc
815,CloudLead,,,85,-1.16,,cloudlead.co,https://www.linkedin.com/company/elistguy
816,GrabCAD Workbench,Cambridge,MA,85,-1.16,,grabcad.com,http://www.linkedin.com/company/grabcad
817,moxtra,Cupertino,CA,84,-1.18,,moxtra.com,http://www.linkedin.com/company/moxtra
818,BrandsEye,Cape Town,,85,-1.16,,brandseye.com,https://www.linkedin.com/company/brandseye
819,AeroHive,Milipitas,CA,553,-1.07,Apogee/NEA/IVP,aerohive.com,http://www.linkedin.com/company/aerohive-networks
820,Optimizely,San Francisco,CA,440,-1.12,Index/Benchmark,optimizely.com,http://www.linkedin.com/company/optimizely
821,Top Producer CRM,Richmond,,249,-1.19,,topproducer.com,http://www.linkedin.com/company/top-producer-systems
822,Flashtalking,London,UK,246,-1.20,TA Associates,flashtalking.com,http://www.linkedin.com/company/flashtalking-inc-
823,Calyx Point,San Jose,CA,159,-1.24,,calyxsoftware.com,http://www.linkedin.com/company/calyx-software
824,SurePayroll,Glenview,IL,240,-1.23,,surepayroll.com,http://www.linkedin.com/company/surepayroll
825,Alexa,San Francisco,CA,70,-1.41,,alexa.com,https://www.linkedin.com/company/alexa-internet/
826,Infinite Campus,Minneapolis,MN,363,-1.36,,infinitecampus.com,http://www.linkedin.com/company/infinite-campus
827,Triniti,San Jose,CA,353,-1.40,,triniti.com,http://www.linkedin.com/company/triniti-corporation
828,ZAP,London,UK,203,-1.46,,zapbi.com,http://www.linkedin.com/company/zapbi
829,Affinio,Halifax,NS,63,-1.56,Whitecap,affinio.com,http://www.linkedin.com/company/affinio-inc
830,Threatmetrix,San Jose,CA,259,-1.52,,threatmetrix.com,http://www.linkedin.com/company/threatmetrix
831,CallSource,Westlake Village,CA,192,-1.54,,callsource.com,http://www.linkedin.com/company/callsource
832,Marketwired,Toronto,ON,124,-1.59,,marketwired.com,http://www.linkedin.com/company/marketwired
833,stratustime,Scottsdale,AZ,61,-1.61,,nettimesolutions.com,http://www.linkedin.com/company/nettime-solutions_2
834,Leadsquared,Bangalore,IND,126,-1.56,,Leadsquared.com,https://www.linkedin.com/company/leadsquared
835,PCRecruiter,Willoughby,OH,58,-1.69,,pcrecruiter.net,http://www.linkedin.com/company/main-sequence-technology
836,Animoto,New York,NY,116,-1.69,,animoto.com,http://www.linkedin.com/company/animoto/
837,iDashboards,Troy,MI,57,-1.72,,idashboards.com,http://www.linkedin.com/company/idashboards
838,Mesosphere,San Francisco,CA,298,-1.65,Khosla/Andressen,mesosphere.com,https://www.linkedin.com/company/mesosphere
839,MindJet,Pleasanton,CA,113,-1.74,,mindjet.com,http://www.linkedin.com/company/mindjet
840,ReachForce,Austin,TX,55,-1.79,,reachforce.com,http://www.linkedin.com/company/reachforce
841,ALEKS,Irvine,CA,110,-1.79,,aleks.com,http://www.linkedin.com/company/aleks-corporation
842,Hot Prospector,San Francisco,CA,54,-1.82,,hotprospector.com,http://www.linkedin.com/company/hot-prospector
843,Salesfusion,Atlanta,GA,54,-1.82,,Salesfusion.com,http://www.linkedin.com/company/salesfusion
844,Easy Software,London,UK,53,-1.85,,easysoftware.com,https://www.linkedin.com/company/17971627
845,AT Internet,London,UK,275,-1.79,IXO,atinternet.com,https://www.linkedin.com/company/at-internet
846,Vendasta,Saskatoon,SK,264,-1.86,,vendasta.com,http://www.linkedin.com/company/vendasta-technologies-inc-
847,Joomla,Toronto,ON,151,-1.95,,joomla.org,http://www.linkedin.com/company/joomla
848,Advanced Solutions International,Alexandria,VA,200,-1.96,,advsol.com,http://www.linkedin.com/company/advanced-solutions-international-inc.
849,salesmanago,Krakow,POL,144,-2.04,,salesmanago.com,http://www.linkedin.com/company/salesmanago-marketing-automation
850,BrightLocal,Lewes,,46,-2.13,,brightlocal.com,http://www.linkedin.com/company/bright-local-seo
851,Ace Metrix,El Segundo,CA,46,-2.13,,acemetrix.com,https://www.linkedin.com/company/ace-metrix/
852,ForeSee,Ann Arbor,MI,451,-1.96,Investor/Updata,foresee.com,http://www.linkedin.com/company/foresee
853,BetterWorks,Redwood City,CA,92,-2.13,,betterworks.com,http://www.linkedin.com/company/betterworks
854,TIBCO Spotfire,Boston,MA,186,-2.11,,spotfire.tibco.com,http://www.linkedin.com/company/tibco-spotfire
855,Lynda.com,Carpinteria,CA,482,-2.03,Accel/Spectrum,lynda.com,https://www.linkedin.com/company/lynda-com/
856,Mavenlink,Irvine,CA,326,-2.10,Goldman/Carrick,mavenlink.com,http://www.linkedin.com/company/mavenlink
857,Satmetrix,Redwood City,CA,176,-2.22,Sutter Hill/Stanford,satmetrix.com,https://www.linkedin.com/company/satmetrix-systems
858,Lansweeper,Grembergen,,43,-2.27,,lansweeper.com,https://www.linkedin.com/company/lansweeper-bvba
859,MSIGHTS,Charlotte,NC,43,-2.27,,msights.com,https://www.linkedin.com/company/msights-inc-/
860,Verdigris,Moffett Field,CA,42,-2.33,,Verdigris.com,https://www.linkedin.com/company/verdigris/
861,Demandware,Burlington,MA,310,-2.21,General Catalyst/North Bridge,demandware.com,http://www.linkedin.com/company/demandware
862,Q360 PSA Solution,Newmarket,ON,41,-2.38,,solutions360.com,http://www.linkedin.com/company/solutions360-inc.
863,eGain,Sunnyvale,CA,715,-2.05,,egain.com,http://www.linkedin.com/company/egain-corporation
864,RenWeb,Mokena,IL,81,-2.41,,renweb.com,http://www.linkedin.com/company/renweb
865,screenflow,Nevada City,CA,293,-2.33,,telestream.net,http://www.linkedin.com/company/telestream
866,MadCap Flare,La Jolla,CA,80,-2.44,,madcapsoftware.com,http://www.linkedin.com/company/madcap-software-inc
867,Graduway,Tel-Aviv,ISR,80,-2.44,,Graduway.com,https://www.linkedin.com/company/graduway
868,Spigit,San Francisco,CA,117,-2.50,,spigit.com,http://www.linkedin.com/company/spigit/
869,Gandi,Paris,FRA,117,-2.50,,gandi.net,https://www.linkedin.com/company/gandi
870,Near,Singapore,SI,117,-2.50,Sequoia,near.co,https://www.linkedin.com/company/-near/
871,Prezi,San Francisco,CA,370,-2.37,Accel/Sunstone,prezi.com,http://www.linkedin.com/company/prezi
872,Hornbill,Ruislip,UK,76,-2.56,,hornbill.com,http://www.linkedin.com/company/hornbill
873,Apptivo,Fremont,CA,234,-2.50,,apptivo.com,http://www.linkedin.com/company/apptivo
874,NetDimensions,Hong Kong,,188,-2.59,,netdimensions.com,http://www.linkedin.com/company/netdimensions
875,Confirmit,New York,NY,391,-2.49,,confirmit.com,http://www.linkedin.com/company/confirmit
876,OpenStack,Austin,TX,225,-2.60,,openstack.org,http://www.linkedin.com/company/openstack
877,RightScale,Santa Barbara,CA,108,-2.70,,rightscale.com,http://www.linkedin.com/company/rightscale
878,Church Community Builder,Colorado Springs,CO,108,-2.70,,churchcommunitybuilder.com,http://www.linkedin.com/company/church-community-builder
879,OrderDynamics,Richmond HIll,ON,71,-2.74,,orderdynamics.com,http://www.linkedin.com/company/orderdynamics
880,TrueConf,Moscow,,69,-2.82,,trueconf.com,https://www.linkedin.com/company/trueconf
881,Instart Logic,Mountain View,CA,175,-2.78,,instartlogic.com,http://www.linkedin.com/company/instart-logic
882,Agility Media Monitoring & Analytics,Ridgefield Park,NJ,139,-2.80,,agilitypr.com,https://www.linkedin.com/company/agility-pr-solutions
883,Vision Critical,Vancouver,BC,622,-2.51,Georgian Partners,visioncritical.com,http://www.linkedin.com/company/vision-critical
884,InMotion Hosting,Los Angeles,CA,248,-2.75,,inmotionhosting.com,http://www.linkedin.com/company/inmotion-hosting
885,Xamarin,San Francisco,CA,102,-2.86,,xamarin.com,http://www.linkedin.com/company/xamarin
886,PowerReviews,Chicago,IL,172,-2.82,,PowerReviews.com,http://www.linkedin.com/company/powerreviews
887,ipswitch,Lexington,MA,280,-2.78,,ipswitch.com,https://www.linkedin.com/company/ipswitch-inc-
888,Treehouse,Orlando,FL,167,-2.91,,teamtreehouse.com,http://www.linkedin.com/company/treehouse-island-inc-
889,SkillSurvey,Berwyn,PA,99,-2.94,,skillsurvey.com,http://www.linkedin.com/company/skillsurvey
890,RoboForm,Fairfax,VA,65,-2.99,,roboform.com,https://www.linkedin.com/company/siber-systems
891,Logi Analytics,Mc Lean,VA,200,-2.91,,logianalytics.com,http://www.linkedin.com/company/logixml
